Year,State,Month,Number of Fires,Date Reported
1998,Acre,January,0,1/01/1998
1999,Acre,January,0,1/01/1999
2000,Acre,January,0,1/01/2000
2001,Acre,January,0,1/01/2001
2002,Acre,January,0,1/01/2002
2003,Acre,January,10,1/01/2003
2004,Acre,January,0,1/01/2004
2005,Acre,January,12,1/01/2005
2006,Acre,January,4,1/01/2006
2007,Acre,January,0,1/01/2007
2008,Acre,January,0,1/01/2008
2009,Acre,January,0,1/01/2009
2010,Acre,January,1,1/01/2010
2011,Acre,January,0,1/01/2011
2012,Acre,January,0,1/01/2012
2013,Acre,January,0,1/01/2013
2014,Acre,January,0,1/01/2014
2015,Acre,January,1,1/01/2015
2016,Acre,January,12,1/01/2016
2017,Acre,January,0,1/01/2017
1998,Acre,February,0,1/01/1998
1999,Acre,February,0,1/01/1999
2000,Acre,February,0,1/01/2000
2001,Acre,February,0,1/01/2001
2002,Acre,February,1,1/01/2002
2003,Acre,February,0,1/01/2003
2004,Acre,February,3,1/01/2004
2005,Acre,February,0,1/01/2005
2006,Acre,February,0,1/01/2006
2007,Acre,February,5,1/01/2007
2008,Acre,February,0,1/01/2008
2009,Acre,February,2,1/01/2009
2010,Acre,February,0,1/01/2010
2011,Acre,February,0,1/01/2011
2012,Acre,February,0,1/01/2012
2013,Acre,February,0,1/01/2013
2014,Acre,February,0,1/01/2014
2015,Acre,February,2,1/01/2015
2016,Acre,February,5,1/01/2016
2017,Acre,February,1,1/01/2017
1998,Acre,March,0,1/01/1998
1999,Acre,March,0,1/01/1999
2000,Acre,March,11,1/01/2000
2001,Acre,March,0,1/01/2001
2002,Acre,March,0,1/01/2002
2003,Acre,March,0,1/01/2003
2004,Acre,March,0,1/01/2004
2005,Acre,March,3,1/01/2005
2006,Acre,March,0,1/01/2006
2007,Acre,March,2,1/01/2007
2008,Acre,March,0,1/01/2008
2009,Acre,March,1,1/01/2009
2010,Acre,March,0,1/01/2010
2011,Acre,March,0,1/01/2011
2012,Acre,March,1,1/01/2012
2013,Acre,March,2,1/01/2013
2014,Acre,March,1,1/01/2014
2015,Acre,March,2,1/01/2015
2016,Acre,March,0,1/01/2016
2017,Acre,March,0,1/01/2017
1998,Acre,April,0,1/01/1998
1999,Acre,April,0,1/01/1999
2000,Acre,April,1,1/01/2000
2001,Acre,April,0,1/01/2001
2002,Acre,April,0,1/01/2002
2003,Acre,April,1,1/01/2003
2004,Acre,April,2,1/01/2004
2005,Acre,April,1,1/01/2005
2006,Acre,April,0,1/01/2006
2007,Acre,April,0,1/01/2007
2008,Acre,April,0,1/01/2008
2009,Acre,April,0,1/01/2009
2010,Acre,April,3,1/01/2010
2011,Acre,April,2,1/01/2011
2012,Acre,April,1,1/01/2012
2013,Acre,April,19,1/01/2013
2014,Acre,April,7,1/01/2014
2015,Acre,April,3,1/01/2015
2016,Acre,April,0,1/01/2016
2017,Acre,April,1,1/01/2017
1998,Acre,May,0,1/01/1998
1999,Acre,May,0,1/01/1999
2000,Acre,May,1,1/01/2000
2001,Acre,May,0,1/01/2001
2002,Acre,May,0,1/01/2002
2003,Acre,May,6,1/01/2003
2004,Acre,May,7,1/01/2004
2005,Acre,May,2,1/01/2005
2006,Acre,May,8,1/01/2006
2007,Acre,May,1,1/01/2007
2008,Acre,May,0,1/01/2008
2009,Acre,May,3,1/01/2009
2010,Acre,May,9,1/01/2010
2011,Acre,May,3,1/01/2011
2012,Acre,May,3,1/01/2012
2013,Acre,May,4,1/01/2013
2014,Acre,May,1,1/01/2014
2015,Acre,May,2,1/01/2015
2016,Acre,May,21,1/01/2016
2017,Acre,May,10,1/01/2017
1998,Acre,June,3,1/01/1998
1999,Acre,June,0,1/01/1999
2000,Acre,June,1,1/01/2000
2001,Acre,June,1,1/01/2001
2002,Acre,June,0,1/01/2002
2003,Acre,June,0,1/01/2003
2004,Acre,June,5,1/01/2004
2005,Acre,June,27,1/01/2005
2006,Acre,June,1,1/01/2006
2007,Acre,June,4,1/01/2007
2008,Acre,June,0,1/01/2008
2009,Acre,June,0,1/01/2009
2010,Acre,June,1,1/01/2010
2011,Acre,June,10,1/01/2011
2012,Acre,June,7,1/01/2012
2013,Acre,June,8,1/01/2013
2014,Acre,June,17,1/01/2014
2015,Acre,June,40,1/01/2015
2016,Acre,June,87,1/01/2016
2017,Acre,June,45,1/01/2017
1998,Acre,July,37,1/01/1998
1999,Acre,July,1,1/01/1999
2000,Acre,July,1,1/01/2000
2001,Acre,July,3,1/01/2001
2002,Acre,July,39,1/01/2002
2003,Acre,July,168,1/01/2003
2004,Acre,July,42,1/01/2004
2005,Acre,July,368,1/01/2005
2006,Acre,July,33,1/01/2006
2007,Acre,July,29,1/01/2007
2008,Acre,July,41,1/01/2008
2009,Acre,July,31,1/01/2009
2010,Acre,July,126,1/01/2010
2011,Acre,July,93,1/01/2011
2012,Acre,July,71,1/01/2012
2013,Acre,July,54,1/01/2013
2014,Acre,July,60,1/01/2014
2015,Acre,July,109,1/01/2015
2016,Acre,July,533,1/01/2016
2017,Acre,July,457,1/01/2017
1998,Acre,August,130,1/01/1998
1999,Acre,August,63,1/01/1999
2000,Acre,August,136,1/01/2000
2001,Acre,August,396,1/01/2001
2002,Acre,August,728,1/01/2002
2003,Acre,August,1.976,1/01/2003
2004,Acre,August,645,1/01/2004
2005,Acre,August,4.198,1/01/2005
2006,Acre,August,839,1/01/2006
2007,Acre,August,960,1/01/2007
2008,Acre,August,445,1/01/2008
2009,Acre,August,194,1/01/2009
2010,Acre,August,1.682,1/01/2010
2011,Acre,August,425,1/01/2011
2012,Acre,August,739,1/01/2012
2013,Acre,August,679,1/01/2013
2014,Acre,August,1.1,1/01/2014
2015,Acre,August,1.397,1/01/2015
2016,Acre,August,2.188,1/01/2016
2017,Acre,August,1.493,1/01/2017
1998,Acre,September,509,1/01/1998
1999,Acre,September,209,1/01/1999
2000,Acre,September,265,1/01/2000
2001,Acre,September,290,1/01/2001
2002,Acre,September,1.949,1/01/2002
2003,Acre,September,3.942,1/01/2003
2004,Acre,September,1.978,1/01/2004
2005,Acre,September,4.253,1/01/2005
2006,Acre,September,2.37,1/01/2006
2007,Acre,September,2.08,1/01/2007
2008,Acre,September,1.666,1/01/2008
2009,Acre,September,1.265,1/01/2009
2010,Acre,September,2.531,1/01/2010
2011,Acre,September,1.204,1/01/2011
2012,Acre,September,1.996,1/01/2012
2013,Acre,September,2.136,1/01/2013
2014,Acre,September,2.175,1/01/2014
2015,Acre,September,2.928,1/01/2015
2016,Acre,September,3.586,1/01/2016
2017,Acre,September,3.429,1/01/2017
1998,Acre,October,44,1/01/1998
1999,Acre,October,60,1/01/1999
2000,Acre,October,18,1/01/2000
2001,Acre,October,137,1/01/2001
2002,Acre,October,687,1/01/2002
2003,Acre,October,740,1/01/2003
2004,Acre,October,461,1/01/2004
2005,Acre,October,547,1/01/2005
2006,Acre,October,316,1/01/2006
2007,Acre,October,203,1/01/2007
2008,Acre,October,652,1/01/2008
2009,Acre,October,565,1/01/2009
2010,Acre,October,292,1/01/2010
2011,Acre,October,97,1/01/2011
2012,Acre,October,348,1/01/2012
2013,Acre,October,258,1/01/2013
2014,Acre,October,406,1/01/2014
2015,Acre,October,905,1/01/2015
2016,Acre,October,509,1/01/2016
2017,Acre,October,1.508,1/01/2017
1998,Acre,November,0,1/01/1998
1999,Acre,November,0,1/01/1999
2000,Acre,November,0,1/01/2000
2001,Acre,November,1,1/01/2001
2002,Acre,November,86,1/01/2002
2003,Acre,November,15,1/01/2003
2004,Acre,November,10,1/01/2004
2005,Acre,November,14,1/01/2005
2006,Acre,November,18,1/01/2006
2007,Acre,November,7,1/01/2007
2008,Acre,November,4,1/01/2008
2009,Acre,November,33,1/01/2009
